UpazName,UpazGeoCod,EmplydMale,EmplydFeml,7PlsNASBoth,7PlsNASMale,7PlsNASFeml,LokWrkMale,LokWrkFeml,HHWorkMale,HHWrkMaFem,DntWrkMale,DntWrkFeml
Sonatala,50100095,25844,1171,67899,29815,38084,194,90,466,32725,3311,4098
Akkelpur,50380013,13378,708,35147,15440,19707,65,48,169,16401,1828,2550
Joypurhat Sadar,50380047,27768,2242,70915,31470,39445,95,45,278,32577,3329,4581
Kalai,50380058,16083,657,44034,18670,25364,99,56,628,21693,1860,2958
Khetlal,50380061,13100,400,33867,14923,18944,49,26,124,16446,1650,2072
Panchbibi,50380074,25847,1884,66227,29875,36352,174,63,576,30103,3278,4302
Atrai,50640003,25919,1300,67780,29640,38140,131,57,385,32314,3205,4469
Badalgachhi,50640006,24545,1306,60719,27444,33275,54,39,321,27860,2524,4070
Dhamoirhat,50640028,22673,1369,53314,25784,27530,128,37,279,22644,2704,3480
Manda,50640047,46151,2055,125414,52610,72804,390,147,820,62757,5249,7845
Mahadebpur,50640050,33953,2454,84993,38230,46763,139,61,520,38630,3618,5618
Naogaon Sadar,50640060,43404,4515,113559,50419,63140,312,121,456,49028,6247,9476
Niamatpur,50640069,31296,3173,77519,35568,41951,97,63,423,33414,3752,5301
Patnitala,50640075,24834,1742,59885,28114,31771,138,74,232,25185,2910,4770
Porsha,50640079,16409,1113,38378,18979,19399,149,23,143,16245,2278,2018
Raninagar,50640085,22818,909,59780,26192,33588,149,62,183,28168,3042,4449
Sapahar,50640086,20985,822,50494,24796,25698,155,28,847,21927,2809,2921
Bagatipara,50690009,15934,699,40012,17938,22074,84,33,173,18900,1747,2442
Baraigram,50690015,37493,1362,91185,42459,48726,121,81,411,41369,4434,5914
Gurudaspur,50690041,32650,1926,82185,38259,43926,225,112,1108,36145,4276,5743
Lalpur,50690044,38901,1509,89744,44455,45289,159,68,725,37655,4670,6057
Naldanga,50690055,21434,1518,54069,24422,29647,104,46,250,24106,2634,3978
Natore Sadar,50690063,28000,1982,70633,31903,38730,135,59,327,31491,3441,5197
Singra,50690091,50376,1898,127580,58352,69228,195,117,830,58709,6951,8504
Bholahat,50700018,13025,816,31435,15821,15614,52,40,390,12521,2354,2237
Gomastapur,50700037,39806,1694,91597,45882,45715,149,63,276,38568,5651,5390
Nachole,50700056,17521,661,42293,20808,21485,140,37,529,18129,2618,2658
Chapainawabganj Sadar,50700066,63501,3991,159302,78081,81221,548,137,659,64014,13373,13079
Shibganj,50700088,89546,2184,208450,107285,101165,500,181,1182,84871,16057,13929
Atgharia,50760005,23245,1319,53261,25988,27273,70,62,196,22284,2477,3608
Bera,50760016,37110,3124,97517,45224,52293,264,91,670,40101,7180,8977
Bhangura,50760019,18025,641,44685,20911,23774,141,54,278,19754,2467,3325
Chatmohar,50760022,41822,2313,100051,47721,52330,212,105,956,43753,4731,6159
Faridpur,50760033,19559,626,46745,22343,24402,73,24,336,20628,2375,3124
Ishwardi,50760039,34405,2522,81901,40889,41012,285,122,564,31779,5635,6589
Pabna Sadar,50760055,76092,4231,179680,88749,90931,493,189,745,72742,11419,13769
Santhia,50760072,58607,2818,138780,67230,71550,230,123,793,59548,7600,9061
Sujanagar,50760083,42690,1894,106417,50535,55882,292,102,648,45662,6905,8224
Bagha,50810010,22628,784,58044,26642,31402,47,36,633,26156,3334,4426
Bagmara,50810012,44281,1206,120431,49861,70570,366,115,768,62039,4446,7210
Charghat,50810025,26676,1542,65748,30614,35134,73,48,442,29140,3423,4404
Durgapur,50810031,24818,1104,62146,27333,34813,61,54,144,30201,2310,3454
Godagari,50810034,36845,2134,91571,46113,45458,394,110,2224,36018,6650,7196
Mohanpur,50810053,17684,818,47642,20271,27371,101,46,311,22871,2175,3636
Paba,50810072,36557,3039,89754,42504,47250,212,90,364,36976,5371,7145
Puthia,50810082,26602,1027,65176,29914,35262,74,45,325,30142,2913,4048
Tanore,50810094,20161,2243,53160,23662,29498,144,90,746,23722,2611,3443
Boalia,50816622,5596,2201,16944,7172,9772,36,22,73,5403,1467,2146
Chandrima,50816624,3783,1488,11454,4848,6606,25,15,49,3653,991,1450
Kashiadanga,50816638,2730,813,8657,3900,4756,21,8,57,2911,1092,1024
Matihar,50816640,3974,824,11079,4871,6208,24,10,15,4159,858,1215
Rajpara,50816685,3542,1055,11230,5060,6171,27,11,74,3776,1417,1329
Shah Makhdum,50816690,1663,482,4544,2008,2536,5,13,22,1549,318,492
Belkuchi,50880011,40909,3141,105801,49588,56213,151,82,310,43544,8218,9446
Chouhali,50880027,22932,1264,58389,26354,32035,201,56,207,27787,3014,2928
Kamarkhanda,50880044,16901,1107,43537,19658,23879,69,22,130,19631,2558,3119
Kazipur,50880050,43293,2871,110283,50032,60251,196,116,1051,50047,5492,7217
Rayganj,50880061,51406,1929,127376,59250,68126,219,99,494,57548,7131,8550
Shahjadpur,50880067,85141,3861,215088,100633,114455,430,211,966,93127,14096,17256
Sirajganj Sadar,50880078,65729,4447,166906,77975,88931,424,148,523,70257,11299,14079
Tarash,50880089,29514,1313,75454,33902,41552,122,55,307,35483,3959,4701
Ullapara,50880094,75223,2717,189478,85506,103972,330,135,789,88734,9164,12386
Birampur,55270010,18427,1345,46679,21526,25153,86,50,355,20192,2658,3566
Birganj,55270012,35079,2993,91813,40085,51728,312,125,413,42137,4281,6473
Birol,55270017,28355,2191,71762,31798,39964,99,52,204,33410,3140,4311
Bochaganj,55270021,15000,2737,41890,17046,24844,106,67,132,19129,1808,2911
Chirirbandar,55270030,29110,2278,75226,33031,42195,112,49,488,35111,3321,4757
Fulbari,55270038,17969,1683,45037,20847,24190,103,40,275,19155,2500,3312
Ghoraghat,55270043,14631,1418,36350,16966,19384,109,44,255,15640,1971,2282
Hakimpur,55270047,7750,864,21095,9095,12000,81,23,73,9474,1191,1639
Kaharole,55270056,16150,1691,43983,17877,26106,39,19,93,21589,1595,2807
Khansama,55270060,19270,1261,49140,21558,27582,101,39,217,23413,1970,2869
Dinajpur Sadar,55270064,34019,6213,92597,41332,51265,111,72,334,36669,6868,8311
Nababganj,55270069,29003,1771,71272,33216,38056,100,65,646,31851,3467,4369
Parbatipur,55270077,37748,2680,94696,43098,51598,284,137,706,43380,4360,5401
Fulchhari,55320021,28556,1607,73775,34024,39751,220,88,714,33141,4534,4915
Gaibandha Sadar,55320024,54366,3707,148230,65252,82978,420,172,1238,67185,9228,11914
Gobindaganj,55320030,72104,3471,184684,83447,101237,407,203,1758,85970,9178,11593
Palashbari,55320067,31725,1510,84112,36655,47457,304,137,511,40456,4115,5354
Sadullapur,55320082,40003,1527,104435,46803,57632,260,140,423,48617,6117,7348
Saghata,55320088,37854,1833,101742,43655,58087,349,122,512,49772,4940,6360
Sundarganj,55320091,71961,3791,188591,83657,104934,599,242,2017,91063,9080,9838
Bhurungamari,55490006,34213,1667,89612,39765,49847,226,132,979,42356,4347,5692
Rajibpur,55490008,11036,309,27772,12234,15538,32,24,82,13877,1084,1328
Chilmari,55490009,17408,1045,45278,19796,25482,72,39,153,21859,2163,2539
Phulbari,55490018,20826,1694,57203,23871,33332,114,42,217,27641,2714,3955
Kurigram Sadar,55490052,37397,3653,105121,45883,59238,332,168,1989,47467,6165,7950
Nageshwari,55490061,57396,2234,153235,67102,86133,470,166,847,73700,8389,10033
Rajarhat,55490077,21928,1998,59570,24871,34699,88,50,322,28834,2533,3817
Roumari,55490079,30688,2303,83207,36866,46341,594,210,880,38445,4704,5383
Ulipur,55490094,54404,3387,143776,61806,81970,442,159,756,69840,6204,8584
Aditmari,55520002,28696,2210,74974,33301,41673,223,104,555,34462,3827,4897
Hatibandha,55520033,27295,2163,71150,31751,39399,294,141,1304,33394,2858,3701
Kaliganj,55520039,29819,2384,77307,34627,42680,194,100,619,35711,3995,4485
Lalmonirhat Sadar,55520055,40182,4180,109073,47981,61092,382,198,1204,48866,6213,7848
Patgram,55520070,23836,1529,59782,27611,32171,243,84,609,26678,2923,3880
Dimla,55730012,40289,1925,101465,47124,54341,370,139,558,45954,5907,6323
Domar,55730015,27245,1799,69736,31275,38461,405,127,309,32348,3316,4187
Jaldhaka,55730036,50566,3212,127877,58505,69372,738,210,754,58857,6447,7093
Kishoreganj,55730045,40107,2229,101214,46426,54788,428,117,484,46670,5407,5772
Nilphamari Sadar,55730064,55563,4254,144506,65186,79320,645,244,840,65081,8138,9741
Saidpur,55730085,28075,3252,74804,34274,40530,274,140,536,30654,5389,6484
Atowari,55770004,11334,1321,32689,19856,12833,23,24,202,16481,1274,2030
Boda,55770025,23615,2800,60913,34415,26498,229,72,383,27675,2271,3868
Debiganj,55770034,26533,2508,67685,37720,29965,201,66,385,31140,2846,4006
Panchagarh Sadar,55770073,26164,3122,68976,38396,30580,282,140,353,29052,3781,6082
Tentulia,55770090,13914,1234,35270,19435,15835,74,42,196,15590,1651,2569
Badarganj,55850003,41728,2102,99353,46583,52770,335,109,454,45621,4066,4938
Gangachara,55850027,41171,4411,109515,50330,59185,445,165,3369,48107,5345,6502
Kaunia,55850042,31615,3594,84544,38093,46451,373,153,487,36165,5618,6539
Rangpur Sadar,55850049,27048,3994,71072,32719,38353,224,99,409,28061,5038,6199
Mithapukur,55850058,67689,3603,170842,78586,92256,437,263,1195,77859,9265,10531
Pirgachha,55850073,41533,2159,111689,48606,63083,338,117,541,53206,6194,7601
Pirganj,55850076,55922,2492,141040,65442,75598,329,215,837,63852,8354,9039
Taraganj,55850092,19952,1168,48387,22532,25855,94,51,123,22255,2363,2381
Rangpur Sadar,55857549,40655,6003,106823,49178,57645,336,149,614,42176,7573,9317
Baliadangi,55940008,21409,1425,59524,24774,34750,207,74,297,29009,2861,4242
Haripur,55940051,18831,1043,48629,22033,26596,99,43,405,22355,2698,3155
Pirganj,55940082,26806,3294,71764,30372,41392,260,91,178,33198,3128,4809
Ranishankail,55940086,26430,1711,69037,30551,38486,99,37,151,31739,3871,4999
Thakurgaon Sadar,55940094,48222,5594,141081,58999,82082,419,196,3271,64485,7087,11807
Ajmiriganj,60360002,15083,721,41949,19350,22599,200,52,126,17076,3941,4750
Bahubal,60360005,23476,3461,65078,30714,34364,441,147,416,24503,6381,6253
Baniachong,60360011,43926,3471,119485,57114,62371,806,264,1454,45741,10928,12895
Chunarughat,60360026,31270,8501,97011,41955,55056,896,258,1411,35768,8378,10529
Habiganj Sadar,60360044,24471,2418,71103,32245,38857,491,147,916,28576,6369,7716
Lakhai,60360068,18201,1026,51640,22930,28710,181,66,268,22217,4280,5401
Madhabpur,60360071,34825,5087,102354,45062,57292,600,202,947,40478,8690,11525
Nabiganj,60360077,36879,2521,106225,49581,56644,723,188,894,41022,11085,12913
Shayestaganj,60360087,6157,609,17891,8114,9778,123,37,230,7190,1602,1942
Baralekha,60580014,18488,3735,61810,26716,35094,464,120,1601,23110,6163,8129
Juri,60580035,12163,4099,40100,17204,22896,632,178,636,13807,3773,4812
Kamalganj,60580056,23718,8185,73338,31964,41374,594,226,1401,24722,6251,8241
Kulaura,60580065,30351,5476,91245,40752,50493,852,273,1372,34346,8177,10398
Moulvibazar Sadar,60580074,28201,3013,80756,37056,43700,518,139,742,30523,7595,10025
Rajnagar,60580080,20196,3967,60376,27106,33270,593,177,694,21332,5623,7794
Sreemangal,60580083,31357,11743,97463,43063,54400,1030,335,1017,29706,9659,12616
Bishwambharpur,60900018,23029,2198,59405,28731,30674,398,130,411,22559,4893,5787
Chhatak,60900023,42447,3183,130335,58960,71375,1408,288,1657,50973,13448,16931
Derai,60900029,32254,2391,85509,41435,44074,344,143,850,32072,7987,9468
Dharmapasha,60900032,20863,956,52342,25767,26575,308,78,468,20513,4128,5028
Dowarabazar,60900033,31366,1658,88564,40855,47709,990,230,950,37532,7549,8289
Jagannathpur,60900047,27032,1661,80192,37793,42399,614,135,594,30334,9553,10269
Jamalganj,60900050,24023,1769,63769,30761,33008,274,110,619,23943,5845,7186
Madhyanagar,60900063,17326,794,43468,21398,22070,256,65,388,17035,3428,4176
Shalla,60900086,16084,1418,42569,20757,21812,142,56,726,15698,3805,4640
Shantiganj,60900087,25040,1310,67490,31803,35687,293,92,361,26648,6109,7637
Sunamganj Sadar,60900089,32487,2904,91770,42720,49050,533,190,725,35044,8975,10912
Tahirpur,60900092,31265,2785,81929,39814,42115,286,118,769,30004,7494,9208
Balaganj,60910008,11972,781,35050,15841,19209,247,58,338,14417,3284,3954
Beanibazar,60910017,15408,1737,53429,22498,30931,463,155,1148,20437,5479,8602
Bishwanath,60910020,18294,1234,62222,27400,34822,707,115,1030,24619,7369,8854
Companiganj,60910027,25934,2473,68076,33461,34615,423,125,691,24842,6413,7175
Dakkhin Surma,60910031,14879,1527,50881,21906,28976,314,71,1048,19843,5664,7534
Fenchuganj,60910035,7825,1134,24605,10861,13744,166,51,253,9012,2617,3547
Golapganj,60910038,20492,1277,68775,29374,39401,490,106,778,28460,7614,9558
Gowainghat,60910041,37832,3195,109995,51503,58492,1095,254,1912,42981,10664,12062
Jaintapur,60910053,16178,1967,49699,22620,27079,365,126,1755,19650,4322,5336
Kanaighat,60910059,19403,2148,75868,33588,42280,1618,381,4755,30879,7812,8872
Osmaninagar,60910060,15092,984,44186,19970,24216,311,72,427,18175,4140,4984
Sylhet Sadar,60910062,54819,11588,158387,72185,86202,1010,330,1571,53172,14785,21112
Zakiganj,60910094,16464,1211,57194,24050,33144,816,173,1877,25294,4893,6466
Airport,60915005,620,131,1792,817,975,11,4,18,602,167,239
Dakkhin Surma,60915031,270,28,923,397,525,6,1,19,360,103,137
Jalalabad,60915048,264,56,761,347,414,5,2,8,256,71,101
Kotwali,60915055,2180,461,6299,2871,3428,40,13,62,2115,588,840
Moglabazar,60915057,330,70,954,435,519,6,2,9,320,89,127
Shahparan,60915068,984,208,2843,1296,1547,18,6,28,954,265,379
