UpazName,UpazGeoCod,EmplydMale,EmplydFeml,7PlsNASBoth,7PlsNASMale,7PlsNASFeml,LokWrkMale,LokWrkFeml,HHWorkMale,HHWrkMaFem,DntWrkMale,DntWrkFeml
Ramna,30262066,4242,3030,12022,5277,6745,95,43,84,2389,857,1283
Sabujbag,30262068,18009,5964,43353,22288,21065,314,85,179,10390,3786,4626
Shahjahanpur,30262073,3320,2298,9303,4092,5211,27,13,46,1834,698,1067
Shahbag,30262075,2362,1049,6157,3110,3047,43,76,64,1328,641,594
Shyampur,30262076,15503,4387,35349,18352,16997,88,51,138,8920,2623,3639
Shere Bangla Nagar,30262080,413,287,1175,514,661,3,2,6,234,92,138
Sutrapur,30262088,4108,1405,9431,4827,4604,12,8,53,2184,654,1007
Wari,30262098,7141,2443,16394,8391,8003,20,14,93,3796,1137,1750
Adabar,30262502,16468,8424,41014,19608,21406,110,86,176,9016,2854,3880
Badda,30262504,19826,8928,49406,23830,25575,176,92,190,12075,3639,4481
Bimanbandar,30262506,290,209,1041,445,596,30,27,5,238,120,122
Banani,30262507,5346,4817,15600,6591,9009,65,50,98,2751,1082,1390
Cantonment,30262508,3242,2819,11713,4516,7197,20,27,200,2946,1054,1405
Dakkhinkhan,30262510,12290,6673,34337,15519,18818,146,52,106,8398,2977,3695
Darussalam,30262511,12700,5248,30699,15121,15578,107,79,112,7459,2202,2792
Dhanmondi,30262516,424,783,1770,541,1229,4,3,16,291,98,151
Bhasantek,30262521,5047,3498,14453,6371,8082,36,29,58,2993,1231,1562
Bhatara,30262522,12816,5772,31939,15406,16534,114,59,123,7806,2352,2896
Gulshan,30262526,7570,6821,22087,9332,12755,93,72,138,3896,1531,1967
Hatirjheel,30262527,3172,2218,9972,4380,5593,43,14,69,2236,1096,1125
Kafrul,30262530,15310,10613,43846,19329,24517,110,86,174,9078,3734,4740
Khilkhet,30262537,8046,2882,20813,9877,10936,68,25,118,6017,1645,2012
Mirpur,30262548,18549,12304,55797,24023,31774,155,105,264,12832,5055,6533
Mohammadpur,30262550,21775,12023,59640,27424,32216,210,116,340,13579,5099,6498
Pallabi,30262564,29564,17767,81433,36827,44607,270,132,353,17988,6639,8719
Ramna,30262566,4844,3460,13730,6027,7703,108,49,95,2729,979,1465
Rampura,30262567,5807,4062,18259,8018,10240,78,25,126,4094,2007,2059
Rupnagar,30262570,8414,5057,23177,10481,12695,77,38,101,5119,1890,2482
Shah Ali,30262574,7822,4617,21227,9816,11411,77,42,61,4472,1856,2280
Shere Bangla Nagar,30262580,6140,4259,17469,7648,9821,41,36,97,3480,1370,2046
Tejgaon,30262590,8695,5453,20537,10153,10384,62,32,81,3212,1315,1687
Tejgaon Shilpa Elaka,30262592,12115,5555,25443,13880,11563,68,45,91,4199,1606,1764
Turag,30262593,14690,6497,35513,17830,17683,122,60,93,7659,2925,3467
Uttra Pashchim,30262594,5853,4843,16829,7345,9484,37,33,159,2912,1296,1697
Uttara Purba,30262595,1999,1654,5748,2509,3239,13,11,54,994,443,579
Uttarkhan,30262596,4588,1594,13139,6123,7016,34,27,42,3795,1459,1600
Alfadanga,30290003,10317,350,27923,12369,15554,42,15,109,12578,1901,2611
Bhanga,30290010,28267,1041,79833,35728,44105,351,113,592,35332,6518,7619
Boalmari,30290018,29774,959,77153,36117,41036,144,60,344,33013,5855,7004
Char Bhadrasan,30290021,8161,200,21768,9815,11953,114,17,96,10095,1444,1641
Faridpur Sadar,30290047,47005,5475,125229,56899,68330,398,171,586,50794,8910,11890
Madhukhali,30290056,21831,1000,56144,25666,30478,99,48,190,24366,3546,5064
Nagarkanda,30290062,21890,834,58086,26846,31240,172,75,390,24935,4394,5396
Sadarpur,30290084,22863,772,62345,27991,34354,251,84,367,28301,4510,5197
Saltha,30290090,22855,894,59223,28838,30385,141,75,671,24035,5171,5381
Gazipur Sadar,30330030,37022,19723,99378,46302,53075,370,236,658,24076,8252,9040
Kaliakair,30330032,43585,15551,117717,51673,66044,310,230,957,40707,6821,9556
Kaliganj,30330034,18377,1449,50384,23667,26717,238,66,483,20147,4569,5055
Kapasia,30330036,29552,1561,80105,37009,43096,343,109,1418,34004,5696,7422
Sreepur,30330086,44599,8643,118056,54273,63783,409,217,1284,44736,7981,10187
Basan,30333315,8905,4744,23903,11137,12766,89,57,158,5791,1985,2174
Gachha,30333318,7333,3907,19684,9171,10513,73,47,130,4769,1634,1791
Kashimpur,30333340,10980,5849,29473,13732,15741,110,70,195,7140,2447,2681
Konabari,30333345,4929,2626,13232,6165,7067,49,31,88,3206,1099,1204
Pubail,30333350,13019,6936,34947,16282,18664,130,83,231,8466,2902,3179
Tongi Pashchim,30333390,5155,2746,13838,6447,7390,52,33,92,3352,1149,1259
Tongi Purba,30333393,3623,1930,9724,4531,5193,36,23,64,2356,807,885
Joydebpur,30333399,31820,16952,85413,39796,45617,318,203,565,20693,7092,7770
Gopalganj Sadar,30350032,22316,1519,64362,28896,35466,196,83,537,26407,5847,7457
Kashiani,30350043,15591,655,44634,19689,24945,139,36,297,19364,3662,4890
Kotalipara,30350051,13644,683,42172,17687,24485,57,36,185,17528,3801,6238
Muksudpur,30350058,24944,1528,72179,31796,40383,244,89,495,30890,6113,7876
Tungipara,30350091,7323,374,20008,9634,10374,61,21,263,7561,1987,2418
Austagram,30480002,21666,1410,60011,27745,32266,298,121,789,24928,4992,5807
Bajitpur,30480006,28481,1444,77942,35525,42417,257,65,449,33950,6338,6958
Bhairab,30480011,29559,2524,84397,38776,45621,312,90,264,33507,8641,9500
Hossainpur,30480027,24185,1099,62517,29981,32536,288,101,320,26028,5188,5308
Itna,30480033,28239,2156,71268,35416,35852,249,86,762,27049,6166,6561
Karimganj,30480042,36333,1728,95097,44074,51023,320,86,516,40916,6905,8293
Katiadi,30480045,39057,2151,108864,50179,58685,589,146,981,46244,9552,10144
Kishoreganj Sadar,30480049,42843,3207,115800,54875,60925,480,182,510,45790,11042,11746
Kuliarchar,30480054,18509,1636,53398,24078,29320,294,90,467,22227,4808,5367
Mithamain,30480059,18739,1741,48491,23120,25371,149,84,442,19071,3790,4475
Nikli,30480076,23200,739,58339,27853,30486,150,55,208,25007,4295,4685
Pakundia,30480079,25612,1194,65589,31367,34222,182,74,431,27426,5142,5528
Tarail,30480092,24776,981,61248,30018,31230,170,57,209,25168,4863,5024
Dasar,30540018,6589,278,18829,8281,10548,76,36,156,8412,1459,1822
Kalkini,30540040,17481,739,49952,21968,27984,201,94,415,22317,3872,4834
Madaripur Sadar,30540054,31103,2471,90052,39774,50278,409,176,1171,37691,7091,9940
Rajoir,30540080,22686,1141,62910,27910,35000,195,86,472,28430,4557,5343
Shibchar,30540087,37793,5814,99793,45442,54351,359,146,892,40476,6398,7915
